title,option_1,option_2,option_3,option_4,answer
Youngstown, OH,59,80,39,1
Yankton, SD,48,97,23,4
Yakima, WA,59,120,30,3
Worcester, MA,12,71,48,2
Wisconsin Dells, WI,48,89,46,4
Winston-Salem, NC,59,80,15,4
Winnipeg, MB,48,97,9,2
Winchester, VA,23,78,9,4
Wilmington, NC,24,77,55,1
Wilmington, DE,0,75,33,4
Williston, ND,0,103,37,3
Williamsport, PA,0,77,0,1
Williamson, WV,48,82,16,4
Wichita Falls, TX,0,98,29,1
Wichita, KS,23,97,20,2
Wheeling, WV,11,80,43,3
West Palm Beach, FL,11,80,3,3
Wenatchee, WA,11,120,19,2
Weed, CA,11,122,23,3
Waycross, GA,11,82,20,3
Wausau, WI,35,89,38,2
Waukegan, IL,36,87,49,1
Watertown, SD,0,97,6,4
Watertown, NY,47,75,55,3
Waterloo, IA,0,92,20,1
Waterbury, CT,59,73,3,4
Washington, DC,23,77,1,4
Warren, PA,59,79,8,2
Walla Walla, WA,11,118,19,4
Waco, TX,59,97,8,2
Vincennes, IN,48,87,31,1
Victoria, TX,35,97,0,1
Vicksburg, MS,59,90,52,2
Vancouver, BC,12,123,7,2
Valley City, ND,11,98,0,1
Valdosta, GA,47,83,16,4
Utica, NY,36,75,13,1
Uniontown, PA,0,79,43,3
Tyler, TX,59,95,18,1
Twin Falls, ID,36,114,28,2
Tuscaloosa, AL,35,87,34,1
Tupelo, MS,35,88,42,4
Tulsa, OK,35,95,54,1
Tucson, AZ,12,110,58,3
Trinidad, CO,11,104,30,4
Trenton, NJ,47,74,46,3
Traverse City, MI,35,85,37,2
Toronto, ON,0,79,22,2
Topeka, KS,59,95,40,4
Toledo, OH,0,83,32,3
Texarkana, TX,48,94,3,2
Terre Haute, IN,12,87,24,4
Tampa, FL,0,82,26,1
Tallahassee, FL,0,84,16,1
Tacoma, WA,24,122,25,3
Syracuse, NY,59,76,9,4
Swainsboro, GA,59,82,20,3
Sumter, SC,11,80,20,4
Stroudsburg, PA,24,75,11,3
Stockton, CA,35,121,17,4
Stevens Point, WI,12,89,34,2
Steubenville, OH,36,80,37,2
Sterling, CO,11,103,13,1
Staunton, VA,0,79,4,1
Springfield, OH,11,83,48,1
Springfield, MO,12,93,17,3
Springfield, MA,59,72,35,1
Springfield, IL,59,89,39,3
Spokane, WA,11,117,24,1
South Bend, IN,48,86,15,2
Sioux Falls, SD,24,96,43,1
Sioux City, IA,24,96,23,2
Shreveport, LA,35,93,45,3
Sherman, TX,23,96,36,4
Sheridan, WY,59,106,57,3
Seminole, OK,47,96,40,3
Selma, AL,11,87,1,1
Sedalia, MO,35,93,13,3
Seattle, WA,59,122,19,3
Scranton, PA,35,75,40,2
Scottsbluff, NB,11,103,39,2
Schenectady, NY,11,73,56,3
Savannah, GA,48,81,5,4
Sault Sainte Marie, MI,24,84,20,3
Sarasota, FL,24,82,31,1
Santa Rosa, CA,23,122,43,4
Santa Fe, NM,48,105,56,1
Santa Barbara, CA,11,119,41,3
Santa Ana, CA,35,117,52,3
San Jose, CA,24,121,52,1
San Francisco, CA,47,122,25,2
Sandusky, OH,0,82,42,1
San Diego, CA,35,117,9,2
San Bernardino, CA,36,117,18,1
San Antonio, TX,12,98,30,4
San Angelo, TX,35,100,26,2
Salt Lake City, UT,35,111,52,1
Salisbury, MD,11,75,35,3
Salinas, CA,11,121,39,2
Salina, KS,24,97,36,3
Salida, CO,47,106,0,4
Salem, OR,23,123,1,3
Saint Paul, MN,0,93,5,1
Saint Louis, MO,11,90,11,4
Saint Joseph, MO,12,94,50,3
Saint Joseph, MI,59,86,28,2
Saint Johnsbury, VT,11,72,1,2
Saint Cloud, MN,11,94,10,3
Saint Augustine, FL,23,81,19,2
Saginaw, MI,48,83,56,1
Sacramento, CA,24,121,29,4
Rutland, VT,36,72,58,2
Roswell, NM,0,104,31,3
Rocky Mount, NC,23,77,48,1
Rock Springs, WY,24,109,13,4
Rockford, IL,12,89,5,3
Rochester, NY,35,77,36,1
Rochester, MN,12,92,27,2
Roanoke, VA,12,79,56,3
Richmond, VA,24,77,26,2
Richmond, IN,48,84,53,3
Richfield, UT,12,112,5,3
Rhinelander, WI,23,89,25,1
Reno, NV,12,119,48,1
Regina, SA,11,104,39,4
Red Bluff, CA,48,122,14,4
Reading, PA,48,75,55,2
Ravenna, OH ,35,81,14,3